epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,9007.88,0.54707,0.38141,1.03908,0.96833,0.97661,0.98446,0.89815,0.47141,0.23842,0.98098,0.0027235,0.0027235,0.0027235
149,9068.7,0.53977,0.37941,1.03549,0.96851,0.97674,0.98454,0.89824,0.4713,0.23802,0.98099,0.002674,0.002674,0.002674
150,9129.54,0.5388,0.3766,1.03546,0.96867,0.97667,0.98459,0.89855,0.47118,0.23794,0.98073,0.0026245,0.0026245,0.0026245
151,9190.34,0.53998,0.38124,1.03612,0.9687,0.97664,0.98456,0.89871,0.47111,0.23801,0.98066,0.002575,0.002575,0.002575
152,9251.31,0.53166,0.37351,1.02906,0.96901,0.97674,0.98454,0.89877,0.47103,0.23764,0.98067,0.0025255,0.0025255,0.0025255
153,9312.11,0.53371,0.37465,1.03168,0.9687,0.97658,0.98452,0.89899,0.47104,0.23763,0.98065,0.002476,0.002476,0.002476
154,9372.72,0.53755,0.37091,1.0336,0.96815,0.97664,0.98455,0.89918,0.47101,0.23765,0.98085,0.0024265,0.0024265,0.0024265
155,9433.51,0.53442,0.36987,1.03346,0.96818,0.97664,0.98452,0.89907,0.47063,0.23748,0.98066,0.002377,0.002377,0.002377
156,9494.17,0.52633,0.36748,1.02868,0.96926,0.97614,0.98456,0.89924,0.47048,0.23728,0.98062,0.0023275,0.0023275,0.0023275
157,9555.03,0.52709,0.36531,1.02845,0.96905,0.9756,0.98448,0.89926,0.47026,0.23736,0.98057,0.002278,0.002278,0.002278
158,9615.67,0.52475,0.36731,1.02765,0.96824,0.9764,0.98448,0.89933,0.47001,0.23711,0.98035,0.0022285,0.0022285,0.0022285
159,9676.41,0.52432,0.36945,1.03011,0.96823,0.97641,0.98425,0.89917,0.46987,0.23713,0.98038,0.002179,0.002179,0.002179
160,9737.05,0.52517,0.36239,1.02825,0.96827,0.97628,0.98451,0.89946,0.46977,0.23694,0.98034,0.0021295,0.0021295,0.0021295
161,9797.87,0.51558,0.35965,1.02136,0.96849,0.97608,0.98434,0.89946,0.46963,0.23672,0.98027,0.00208,0.00208,0.00208
162,9858.65,0.51606,0.36454,1.02394,0.96825,0.97599,0.98436,0.89973,0.4695,0.23666,0.98025,0.0020305,0.0020305,0.0020305
163,9919.48,0.51502,0.35784,1.02357,0.9682,0.97594,0.9844,0.89953,0.46954,0.23654,0.98018,0.001981,0.001981,0.001981
164,9980.17,0.51615,0.35924,1.02849,0.96799,0.9758,0.98452,0.8995,0.46948,0.2365,0.98018,0.0019315,0.0019315,0.0019315
165,10041,0.51252,0.35625,1.02105,0.96831,0.97597,0.98461,0.89986,0.46941,0.23637,0.98014,0.001882,0.001882,0.001882
166,10101.8,0.51022,0.36209,1.02195,0.96808,0.976,0.98458,0.90015,0.46944,0.2367,0.98026,0.0018325,0.0018325,0.0018325
167,10162.5,0.51228,0.35919,1.0229,0.96806,0.97603,0.98458,0.89999,0.46961,0.2366,0.98039,0.001783,0.001783,0.001783
168,10223.2,0.50435,0.35201,1.01557,0.96807,0.97603,0.98467,0.90007,0.46954,0.23662,0.98045,0.0017335,0.0017335,0.0017335
