epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,20477.4,0.57354,0.413,1.05317,0.96931,0.97271,0.98244,0.89389,0.47587,0.24177,0.98412,0.003367,0.003367,0.003367
136,20628.9,0.57608,0.40751,1.05418,0.96962,0.97214,0.98247,0.89388,0.47571,0.2417,0.98401,0.0033175,0.0033175,0.0033175
137,20780.6,0.56804,0.40351,1.04823,0.96958,0.97213,0.9825,0.89371,0.47551,0.24108,0.98383,0.003268,0.003268,0.003268
138,20932.2,0.57223,0.40273,1.0537,0.96983,0.97223,0.98252,0.89404,0.47544,0.24119,0.98373,0.0032185,0.0032185,0.0032185
139,21083.9,0.57291,0.39912,1.05099,0.96956,0.97209,0.9826,0.89448,0.47529,0.24089,0.98353,0.003169,0.003169,0.003169
140,21235.6,0.57001,0.40295,1.05026,0.96929,0.97137,0.98264,0.89484,0.47486,0.24071,0.98318,0.0031195,0.0031195,0.0031195
141,21387.3,0.56348,0.39991,1.04837,0.96991,0.97168,0.9826,0.89496,0.47452,0.24016,0.98302,0.00307,0.00307,0.00307
142,21538.6,0.56416,0.40209,1.04741,0.96964,0.97214,0.98269,0.8952,0.47418,0.23976,0.98262,0.0030205,0.0030205,0.0030205
143,21690.3,0.56488,0.40109,1.05121,0.96852,0.97276,0.98277,0.89576,0.47409,0.23959,0.98252,0.002971,0.002971,0.002971
144,21841.8,0.55978,0.39545,1.04635,0.96775,0.97431,0.98334,0.89584,0.47394,0.23953,0.98241,0.0029215,0.0029215,0.0029215
145,21993.3,0.56152,0.39954,1.05085,0.96825,0.974,0.98342,0.89567,0.47357,0.23883,0.98221,0.002872,0.002872,0.002872
146,22144.9,0.56244,0.39204,1.04826,0.96917,0.97291,0.98349,0.89541,0.47326,0.23831,0.98197,0.0028225,0.0028225,0.0028225
147,22296.5,0.55298,0.39224,1.04263,0.96974,0.97326,0.98359,0.89538,0.47303,0.23781,0.98171,0.002773,0.002773,0.002773
148,22448.1,0.55746,0.39444,1.04616,0.97087,0.97361,0.98355,0.89591,0.47305,0.23787,0.98158,0.0027235,0.0027235,0.0027235
149,22599.6,0.54975,0.38691,1.04165,0.97014,0.97344,0.9834,0.8959,0.47281,0.23803,0.98144,0.002674,0.002674,0.002674
150,22751.5,0.54825,0.38155,1.04348,0.96999,0.97366,0.98351,0.89592,0.47275,0.23808,0.98137,0.0026245,0.0026245,0.0026245
151,22902.8,0.55194,0.39104,1.04189,0.96972,0.9744,0.98354,0.89629,0.47244,0.23781,0.98116,0.002575,0.002575,0.002575
152,23054.3,0.54506,0.38564,1.03408,0.96941,0.97491,0.98353,0.8961,0.47247,0.23779,0.98122,0.0025255,0.0025255,0.0025255
153,23205.8,0.54358,0.38724,1.03721,0.96892,0.97513,0.9835,0.89597,0.47206,0.2374,0.98107,0.002476,0.002476,0.002476
154,23357.4,0.55321,0.3888,1.04223,0.96847,0.9752,0.98272,0.89618,0.47179,0.23723,0.98098,0.0024265,0.0024265,0.0024265
155,23508.9,0.54407,0.383,1.03537,0.96831,0.97507,0.98274,0.89625,0.47151,0.23697,0.98082,0.002377,0.002377,0.002377
156,23660.7,0.53799,0.37869,1.03422,0.96838,0.97509,0.98272,0.89613,0.47126,0.2366,0.98063,0.0023275,0.0023275,0.0023275
157,23812.1,0.5422,0.3764,1.0368,0.96793,0.97554,0.98286,0.89641,0.47089,0.23639,0.98033,0.002278,0.002278,0.002278
158,23963.7,0.5424,0.38177,1.03447,0.96792,0.9764,0.98287,0.89659,0.4707,0.23584,0.98025,0.0022285,0.0022285,0.0022285
159,24115.3,0.54382,0.37697,1.03787,0.96812,0.97681,0.98367,0.8969,0.47031,0.23544,0.97996,0.002179,0.002179,0.002179
160,24266.6,0.52766,0.36763,1.03043,0.96841,0.97695,0.98366,0.89746,0.47011,0.23526,0.9799,0.0021295,0.0021295,0.0021295
161,24418.3,0.53307,0.37711,1.03147,0.96862,0.97591,0.98358,0.89741,0.46987,0.23509,0.97981,0.00208,0.00208,0.00208
162,24569.7,0.52942,0.37278,1.03093,0.96837,0.97653,0.98354,0.8979,0.46996,0.23505,0.97985,0.0020305,0.0020305,0.0020305
163,24721.2,0.52821,0.36774,1.0292,0.96916,0.97637,0.98354,0.89855,0.46962,0.23427,0.97984,0.001981,0.001981,0.001981
164,24872.8,0.52947,0.37038,1.03102,0.9688,0.97657,0.98353,0.8983,0.46933,0.23433,0.97974,0.0019315,0.0019315,0.0019315
165,25024.3,0.52594,0.37303,1.02884,0.96814,0.97623,0.98353,0.89852,0.46917,0.23417,0.97971,0.001882,0.001882,0.001882
166,25175.7,0.52647,0.36852,1.02848,0.96836,0.97609,0.98358,0.89874,0.46905,0.23362,0.97961,0.0018325,0.0018325,0.0018325
167,25327.1,0.5235,0.36739,1.02695,0.9684,0.97541,0.98355,0.89888,0.46884,0.23351,0.97963,0.001783,0.001783,0.001783
168,25478.5,0.51482,0.36495,1.02277,0.96881,0.97532,0.98353,0.89882,0.4685,0.23362,0.97955,0.0017335,0.0017335,0.0017335
169,25630,0.51905,0.36681,1.02562,0.96908,0.97536,0.98353,0.89889,0.46806,0.23367,0.97934,0.001684,0.001684,0.001684
170,25781.5,0.50665,0.35122,1.01806,0.96915,0.97526,0.98355,0.89877,0.46774,0.23337,0.97925,0.0016345,0.0016345,0.0016345
171,25933,0.51095,0.35696,1.01792,0.9684,0.97529,0.98349,0.89893,0.46755,0.23326,0.9792,0.001585,0.001585,0.001585
172,26084.8,0.51742,0.36127,1.0221,0.96945,0.97459,0.98339,0.89932,0.4673,0.23363,0.97917,0.0015355,0.0015355,0.0015355
173,26236.4,0.50918,0.35979,1.01969,0.96897,0.9746,0.98332,0.89939,0.46731,0.23353,0.97938,0.001486,0.001486,0.001486
174,26387.9,0.51046,0.35284,1.02214,0.9703,0.974,0.98331,0.89932,0.46728,0.2332,0.9796,0.0014365,0.0014365,0.0014365
175,26539.4,0.50337,0.35154,1.01522,0.97035,0.97399,0.98331,0.89929,0.46734,0.23321,0.97984,0.001387,0.001387,0.001387
176,26690.9,0.51267,0.35378,1.02155,0.97042,0.9733,0.98356,0.89905,0.46718,0.23334,0.97988,0.0013375,0.0013375,0.0013375
177,26842.5,0.50349,0.34844,1.01911,0.97078,0.97323,0.98347,0.89925,0.46704,0.23364,0.98007,0.001288,0.001288,0.001288
178,26994.1,0.49907,0.34416,1.01233,0.97089,0.97289,0.98351,0.89932,0.46684,0.23336,0.9802,0.0012385,0.0012385,0.0012385
179,27145.6,0.50605,0.3419,1.01917,0.97095,0.97227,0.98351,0.8993,0.46677,0.23354,0.98028,0.001189,0.001189,0.001189
180,27297.3,0.50257,0.34359,1.01978,0.97101,0.97254,0.98353,0.8993,0.46692,0.23327,0.98027,0.0011395,0.0011395,0.0011395
181,27448.9,0.49784,0.34315,1.01176,0.97119,0.97271,0.98346,0.8994,0.46716,0.2334,0.98054,0.00109,0.00109,0.00109
182,27600.3,0.49447,0.34134,1.01309,0.97089,0.9721,0.98347,0.89939,0.46722,0.23348,0.98062,0.0010405,0.0010405,0.0010405
